i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activeEnergy 3.51857e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.burstEnergy 2.52674e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredPauses 143764
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.reads 271369
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.writes 143764
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activates 323547
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.precharges 323547
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshes 57538
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaits 1612417
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitTotal 14968431
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitAverage 9.28323
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredWriteTimes 143764
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelCountHisto {0: 143763}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankEnergy 1.34102e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeEnergy 3.51857e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstEnergy 2.52674e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankPower 0.00223814W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activePower 0.000587245W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstPower 0.000421709W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bandwidth 621.43MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.dataCycles 1660532
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.powerCycles 68406158
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.utilization 0.0242746
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.reads 271369
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.writes 143764
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activates 323547
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.precharges 323547
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshes 57538
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeCycles 12377700
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.standbyCycles 56028458
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitActiveCycles 8246820
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitPrechargeCycles 13221911
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaits 25528
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitTotal 50999
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitAverage 1.99777
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.subArrayEnergy 1.34225e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activeEnergy 3.53538e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.burstEnergy 2.52224e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredPauses 143604
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.reads 270785
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.writes 143604
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activates 325092
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.precharges 325091
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshes 57538
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaits 1632091
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitTotal 15307039
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitAverage 9.37879
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredWriteTimes 143604
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelCountHisto {0: 143603}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankEnergy 1.34225e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeEnergy 3.53538e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstEnergy 2.52224e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankPower 0.00224019W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activePower 0.000590049W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstPower 0.000420958W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bandwidth 620.316MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.dataCycles 1657556
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.powerCycles 68406158
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.utilization 0.0242311
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.reads 270785
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.writes 143604
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activates 325092
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.precharges 325091
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshes 57538
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeCycles 12407968
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.standbyCycles 55998190
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitActiveCycles 8357680
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.fastExitPrechargeCycles 13111051
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaits 24010
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitTotal 47987
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitAverage 1.99863
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.subArrayEnergy 1.34859e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activeEnergy 3.58312e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.burstEnergy 2.53795e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.pausedWrites 0
