i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activeEnergy 1.71999e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.burstEnergy 2.02817e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshEnergy 2.4544e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredPauses 7844
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.reads 25632
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.writes 7844
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activates 15816
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.precharges 15816
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshes 19175
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaits 70078
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitTotal 1201995
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitAverage 17.1522
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredWriteTimes 7844
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelCountHisto {0: 7843}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankEnergy 2.82922e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeEnergy 1.71999e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstEnergy 2.02817e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshEnergy 2.4544e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankPower 0.00141686W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activePower 8.61366e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstPower 0.00010157W
