i0.MultiQueueMigrator.migrationCount 262
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activeCycles 187678
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.standbyCycles 453281
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.fastExitActiveCycles 632315
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.fastExitPrechargeCycles 2345579
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.actWaits 1851
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.actWaitTotal 3659
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.actWaitAverage 1.97677
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.subArrayEnergy 3.41015e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.activeEnergy 237401mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.burstEnergy 208268mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.measuredPauses 1635
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.reads 1768
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.writes 1635
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.activates 2183
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.precharges 2183
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.actWaits 9371
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.actWaitTotal 127494
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.actWaitAverage 13.6052
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.measuredWriteTimes 1635
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.cancelCountHisto {0: 1634}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.bankEnergy 3.41015e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.activeEnergy 237401mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.burstEnergy 208268mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.bankPower 0.00141349W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.activePower 9.84019e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.burstPower 8.6326e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.refreshPower 0.00122877W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.bandwidth 543.665MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.dataCycles 13612
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.powerCycles 640959
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.utilization 0.0212369
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.reads 1768
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.writes 1635
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.activates 2183
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.precharges 2183
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.activeCycles 193360
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.standbyCycles 447599
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.fastExitActiveCycles 648401
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.fastExitPrechargeCycles 2329493
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.actWaits 2012
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.actWaitTotal 3985
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.actWaitAverage 1.98062
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank5.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.subArrayEnergy 3.3624e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.activeEnergy 208256mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.burstEnergy 189662mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.measuredPauses 1561
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.reads 1535
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.writes 1561
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.activates 1915
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.precharges 1915
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.actWaits 8925
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.actWaitTotal 135558
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.actWaitAverage 15.1886
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.measuredWriteTimes 1561
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.cancelCountHisto {0: 1560}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.bankEnergy 3.3624e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.activeEnergy 208256mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.burstEnergy 189662mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.bankPower 0.0013937W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.activePower 8.63214e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.burstPower 7.86143e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.refreshPower 0.00122877W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.bandwidth 494.619MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.dataCycles 12384
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.powerCycles 640959
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.utilization 0.019321
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.reads 1535
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.writes 1561
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.activates 1915
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.precharges 1915
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.activeCycles 169329
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.standbyCycles 471630
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.fastExitActiveCycles 596925
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.fastExitPrechargeCycles 2380969
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.actWaits 1805
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.actWaitTotal 3563
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.actWaitAverage 1.97396
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank6.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.subArrayEnergy 3.35462e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.activeEnergy 207386mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.burstEnergy 182758mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.measuredPauses 1415
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.reads 1572
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.writes 1415
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.activates 1907
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.precharges 1906
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.actWaits 9020
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.actWaitTotal 129686
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.actWaitAverage 14.3776
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.measuredWriteTimes 1415
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.cancelCountHisto {0: 1414}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.bankEnergy 3.35462e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.activeEnergy 207386mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.burstEnergy 182758mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.bankPower 0.00139048W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.activePower 8.59608e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.burstPower 7.57522e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.refreshPower 0.00122877W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.bandwidth 477.205MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.dataCycles 11948
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.powerCycles 640959
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.utilization 0.0186408
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.reads 1572
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.writes 1415
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.activates 1907
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.precharges 1906
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.activeCycles 160558
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.standbyCycles 480401
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.fastExitActiveCycles 514639
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.fastExitPrechargeCycles 2463255
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.actWaits 1575
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.actWaitTotal 3106
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.actWaitAverage 1.97206
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank7.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.totalEnergy 1.209e+09mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.backgroundEnergy 9.937e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.activateEnergy 1.36033e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.burstEnergy 1.19667e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.refreshEnergy 1.89727e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.totalPower 0.140725W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.backgroundPower 0.0514856W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.activatePower 0.00563852W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.burstPower 0.00496014W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.refreshPower 0.078641W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.reads 12466
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.writes 11966
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.activeCycles 619944
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.standbyCycles 21015
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.fastExitActiveCycles 1860065
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.fastExitPrechargeCycles 1117829
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.slowExitCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.actWaits 2488
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.actWaitTotal 3627
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.actWaitAverage 1.4578
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.rrdWaits 2488
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.rrdWaitTotal 3627
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.rrdWaitAverage 1.4578
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.fawWaits 13
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.fawWaitTotal 51
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.fawWaitAverage 3.92308
i0.defaultMemory.channel0.FRFCFS.mem_reads 12466
i0.defaultMemory.channel0.FRFCFS.mem_writes 11966
i0.defaultMemory.channel0.FRFCFS.rb_hits 8796
i0.defaultMemory.channel0.FRFCFS.rb_miss 15636
i0.defaultMemory.channel0.FRFCFS.starvation_precharges 237
i0.defaultMemory.channel0.FRFCFS.averageLatency 29.1514
i0.defaultMemory.channel0.FRFCFS.averageQueueLatency 1.88053
i0.defaultMemory.channel0.FRFCFS.averageTotalLatency 31.032
i0.defaultMemory.channel0.FRFCFS.measuredLatencies 24432
i0.defaultMemory.channel0.FRFCFS.measuredQueueLatencies 24432
i0.defaultMemory.channel0.FRFCFS.measuredTotalLatencies 24432
i0.defaultMemory.channel0.FRFCFS.write_pauses 0
i0.defaultMemory.channel0.FRFCFS.simulation_cycles 3618853
i0.defaultMemory.channel0.FRFCFS.wakeupCount 0
i0.defaultMemory.channel1.FRFCFS.decoder.migratedAccesses 0
i0.defaultMemory.channel1.FRFCFS.channel1.decoder.migratedAccesses 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.decoder.migratedAccesses 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.decoder.migratedAccesses 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.subArrayEnergy 1583.83nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.activeEnergy 103.936nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.burstEnergy 1479.9nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.writeEnergy 0nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.refreshEnergy 0nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.cancelledWrites 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.pausedWrites 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.measuredPauses 877
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.measuredProgresses 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.reads 1434
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.writes 877
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.activates 1280
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.precharges 1279
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.refreshes 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.averageEndurance 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.actWaits 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.actWaitTotal 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.actWaitAverage -nan
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.worstCaseWrite 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.num00Writes 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.num01Writes 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.num10Writes 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.num11Writes 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.averageWriteTime 60
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.measuredWriteTimes 877
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.cancelCountHisto {0: 876}
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.wpPauseHisto {}
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.subarray0.wpCancelHisto {}
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.bankEnergy 1583.83nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.activeEnergy 103.936nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.burstEnergy 1479.9nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.refreshEnergy 0nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.bankPower 437661W
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.activePower 28720.7W
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.burstPower 408941W
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.refreshPower 0W
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.bandwidth 347.113MB/s
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.dataCycles 9244
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.powerCycles 681757
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.utilization 0.0135591
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.reads 1434
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.writes 877
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.activates 1280
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.precharges 1279
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.refreshes 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.activeCycles 680427
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.standbyCycles 1330
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.fastExitActiveCycles 2937053
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.fastExitPrechargeCycles 43
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.slowExitPrechargeCycles 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.actWaits 3
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.actWaitTotal 6
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.actWaitAverage 2
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.averageEndurance 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.decoder.migratedAccesses 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.subArrayEnergy 1429.94nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.activeEnergy 93.4612nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.burstEnergy 1336.47nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.writeEnergy 0nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.refreshEnergy 0nJ
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.cancelledWrites 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.pausedWrites 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel1.FRFCFS.channel1.rank0.bank1.subarray0.measuredPauses 792
