i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activeEnergy 9.90832e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.burstEnergy 7.46417e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshEnergy 3.20461e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredPauses 48524
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.reads 73857
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.writes 48524
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activates 91111
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.precharges 91111
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshes 25036
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaits 470499
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitTotal 4958208
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitAverage 10.5382
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredWriteTimes 48524
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelCountHisto {0: 48523}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankEnergy 4.94186e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeEnergy 9.90832e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstEnergy 7.46417e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshEnergy 3.20461e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankPower 0.00189552W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activePower 0.000380048W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstPower 0.000286299W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshPower 0.00122918W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bandwidth 612.275MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.dataCycles 489524
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.powerCycles 20467627
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.utilization 0.023917
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.reads 73857
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.writes 48524
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activates 91111
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.precharges 91111
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshes 25036
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeCycles 3792835
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.standbyCycles 16674792
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitActiveCycles 4866490
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitPrechargeCycles 13772698
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaits 14689
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitTotal 29122
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitAverage 1.98257
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.subArrayEnergy 4.95416e+07mA*t
