i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activeEnergy 1.57926e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.burstEnergy 2.12354e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredPauses 91733
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.reads 258368
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.writes 91733
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activates 145219
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.precharges 145219
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshes 213393
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaits 742684
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitTotal 13473437
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitAverage 18.1415
